mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__C,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0.02,0.00,0.01,0.00,LogisticRegression(C=0.001),0.001,"{'clf': LogisticRegression(C=0.001), 'clf__C': 0.001}",0.92,0.92,0.89,0.94,0.95,0.93,0.02,1,0.84,0.88,0.82,0.88,0.90,0.86,0.03,5
0.02,0.01,0.02,0.01,LogisticRegression(C=0.001),0.01,"{'clf': LogisticRegression(C=0.001), 'clf__C': 0.01}",0.92,0.92,0.89,0.94,0.95,0.93,0.02,2,0.84,0.88,0.85,0.84,0.89,0.86,0.02,7
0.03,0.01,0.01,0.00,LogisticRegression(C=0.001),0.1,"{'clf': LogisticRegression(C=0.001), 'clf__C': 0.1}",0.92,0.92,0.89,0.94,0.95,0.93,0.02,3,0.85,0.88,0.85,0.84,0.89,0.86,0.02,6
0.04,0.01,0.02,0.01,LogisticRegression(C=0.001),1.0,"{'clf': LogisticRegression(C=0.001), 'clf__C': 1.0}",0.91,0.92,0.89,0.94,0.95,0.93,0.02,4,0.85,0.89,0.84,0.86,0.89,0.87,0.02,1
0.04,0.02,0.01,0.00,LogisticRegression(C=0.001),10.0,"{'clf': LogisticRegression(C=0.001), 'clf__C': 10.0}",0.91,0.92,0.89,0.94,0.95,0.93,0.02,5,0.85,0.89,0.84,0.86,0.88,0.86,0.02,4
0.03,0.00,0.01,0.00,LogisticRegression(C=0.001),100.0,"{'clf': LogisticRegression(C=0.001), 'clf__C': 100.0}",0.91,0.92,0.89,0.94,0.95,0.92,0.02,6,0.85,0.89,0.84,0.86,0.89,0.87,0.02,1
0.02,0.00,0.01,0.00,LogisticRegression(C=0.001),1000.0,"{'clf': LogisticRegression(C=0.001), 'clf__C': 1000.0}",0.91,0.92,0.89,0.94,0.95,0.92,0.02,6,0.85,0.89,0.84,0.86,0.89,0.87,0.02,1
